Timestamp,How old are you?,What industry do you work in?,Job title,What is your annual salary?,Please indicate the currency,Where are you located? (City/state/country),How many years of post-college professional work experience do you have?,"If your job title needs additional context, please clarify here:","If ""Other,"" please indicate the currency here: "
4/24/2019 12:01:33,45-54,Tech,Senior Content Marketing Strategist,"82,500",USD,"Chicago, IL ",21 - 30 years,,
4/24/2019 12:01:37,25-34,Legal,Associate attorney,220000,USD,Pittsburgh PA USA,2 - 4 years,,
4/24/2019 12:01:41,18-24,Education,Middle School Teacher,"51,400",USD,"Berkeley, CA USA",2 - 4 years,,
4/24/2019 12:01:46,35-44,Education,"Teacher, private high school","$82,000.00",USD,"Los Angeles, CA, USA",8 - 10 years,,
4/24/2019 12:01:46,25-34,Defense,Systems Engineer Senior,94000,USD,"Syracuse, NY, USA",8 - 10 years,,
4/24/2019 12:01:47,25-34,market research,director,95000,USD,"New York, NY, USA",11 - 20 years,"work at market research agency, client facing",
4/24/2019 12:01:49,45-54,Marketing,Sr. Account Manager,"83,000",USD,Leesburg VA USA,21 - 30 years,,
4/24/2019 12:01:52,35-44,Software Development,Senior Technical Writer,44000,GBP,Bristol,11 - 20 years,,
4/24/2019 12:01:54,55-64,Corporate staffing,Talent Sourcing Leader,"$145,000 plus bonus and LTI",USD,Chicago IL USA,31 - 40 years,"I build talent sourcing models, tools, and resources; manage a team of sourcers; and create talent communities for succession planning and critical leadership roles.",
4/24/2019 12:01:56,35-44,,Financial Planning and Analysis Manager,107000,USD,Buffalo/ NY/ USA,11 - 20 years,,
4/24/2019 12:01:58,35-44,Education,Human Resources ,"72,000",USD,Pennsylvania,11 - 20 years,,
4/24/2019 12:01:58,25-34,Technology,Operations Manager,87000,USD,Washington D.C.,2 - 4 years,"The role is focused largely on project management, including: product rollouts, stakeholder management, feedback consolidation, data analysis, process development and improvements",
4/24/2019 12:01:59,25-34,Private secondary education,English teacher,"$35,000.00",USD,"Denton, TX, USA",2 - 4 years,,
4/24/2019 12:02:00,25-34,Engineering ,Senior Test Engineer - Production Engineering ,99000,USD,"Chelmsford, MA ",8 - 10 years,Manufacturing test,
4/24/2019 12:02:00,25-34,,Sr. Advisor,"105,000",CAD,,8 - 10 years,,
4/24/2019 12:02:02,35-44,Media ,Editor in Chief ,"160,000",USD,"Washington, DC. USA",8 - 10 years,,
4/24/2019 12:02:02,25-34,Political Consulting,Senior Applied Data Scientist,92000,USD,"Washington, DC",2 - 4 years,,
4/24/2019 12:02:03,25-34,Education,Director of Admissions,"55,000",USD,Philadelphia/PA/USA,8 - 10 years,at a high school,
4/24/2019 12:02:03,25-34,Professional Services,Senior Recruitment Specialist,"$55,000.00",CAD,"Nova Scotia, Canada",8 - 10 years,Canadian dollars!,
4/24/2019 12:02:04,18-24,Federal Government,Public Affairs Specialist,"81,000",USD,"Washington, DC",2 - 4 years,,
4/24/2019 12:02:05,45-54,Wireless adjacent,Operations Director,$62K,USD,"Denver, CO",5-7 years,It's for a VERY small company,
4/24/2019 12:02:05,25-34,Law,Assistant Attorney General and Associate University Counsel,"74,260",USD,"Williamsburg, Va  USA",5-7 years,In-house legal counsel to a public university,
4/24/2019 12:02:05,25-34,Higher Education,Administrative Specialist I,"37,700",USD,"Athens, GA, USA",5-7 years,,
4/24/2019 12:02:08,35-44,Technology,Software Engineer,110000,USD,"Fort Collins, Colorado, USA",11 - 20 years,,
4/24/2019 12:02:09,35-44,Non-profit educational,Sr. Accounts Payable Specialist,43500,USD,"Pittsfield, MA",11 - 20 years,,
4/24/2019 12:02:09,35-44,Mental health ,Senior cognitive behaviour therapist ,42500,GBP,"London, UK",8 - 10 years,Management/supervision/serve development/clinical work ,
4/24/2019 12:02:13,25-34,Banking,"VP, Portfolio Manager",115000,USD,"Atlanta, GA",8 - 10 years,"On the credit side of things, not business development/production",
4/24/2019 12:02:13,35-44,education,high school teacher,"45,000",USD,"Rural, Indiana",8 - 10 years,,
4/24/2019 12:02:13,25-34,Publishing,Publisher,£30000.00,GBP,"Lincoln, Lincolnshire, UK",5-7 years,,
4/24/2019 12:02:13,35-44,Nonprofit,Executive Director,"78,000",USD,"Hollis, NH, USA",11 - 20 years,,
4/24/2019 12:02:16,25-34,Social work,Therapist,54000,USD,Virginia USA,5-7 years,,
4/24/2019 12:02:19,35-44,Service - Language Services ,Employee Development & Compliance Director,60000,USD,"Indianapolis, Indiana ",5-7 years,I'm in charge of HR and some in-house counsel contracts and compliance ,
4/24/2019 12:02:22,25-34,software development,Developer,"65,000",USD,"Lansing, Michigan, USA",5-7 years,,
4/24/2019 12:02:22,25-34,Healthcare,Marketing & Communications Specialist,"$52,000.00",USD,"Atlanta, GA, USA",2 - 4 years,,
4/24/2019 12:02:23,35-44,Libraries,Adult and Teen Services Librarian,"64,000",USD,West Suburban Illinois,11 - 20 years,,
4/24/2019 12:02:23,55-64,Not for profit,Employment Specialist ,48000,CAD,Toronto/Ontario/Canada,21 - 30 years,,
4/24/2019 12:02:23,45-54,Higher education,Faculty Librarian,"85,000",USD,"Oakland County, Michigan (north of Detroit) ",21 - 30 years,,
4/24/2019 12:02:24,45-54,Law,Partner,138000,USD,"Cleveland, Ohio, USA",21 - 30 years,,
4/24/2019 12:02:24,35-44,IT,Marketing Manager,40000,GBP,Scotland,8 - 10 years,,
4/24/2019 12:02:24,35-44,Higher Education,Admin Assistant IV,54239.76,USD,"Reno, NV, USA",11 - 20 years,Administrative support for Vice Provost for IT(head of dept) and IT department in general,
4/24/2019 12:02:25,35-44,Nonprofit,Community Engagement Director,67000,USD,"Detroit, MI, USA",11 - 20 years,,
4/24/2019 12:02:26,35-44,Tech,Junior Editor,"$27,500, give or take",USD,"Las Vegas, NV, USA",8 - 10 years,I began as a website content writer.,
4/24/2019 12:02:30,25-34,Technology,Content Strategist,"$105,000.00",USD,"San Francisco, CA USA",8 - 10 years,"I write content for my company’s Help Center, and do a bit of broader content strategy/user research/product work on the side for our Help products (e.g. contact form, Help Center, etc).",
4/24/2019 12:02:31,35-44,Legal,SR HR Generalist,89000,USD,"Chicago, IL",8 - 10 years,,
4/24/2019 12:02:37,35-44,Public Media,"Director, Development Communications","105,000",USD,"Minneapolis, MN, USA",11 - 20 years,,
4/24/2019 12:02:38,45-54,Software,Senior Scientist,"175,000",USD,"Cambridge, MA, USA",21 - 30 years,,
4/24/2019 12:02:39,25-34,,Intelligence Analyst,69000,CAD,,5-7 years,,
4/24/2019 12:02:40,45-54,Franchising/Fitness,VP of Internal Audit,"205,000",USD,Hampton NH,31 - 40 years,,
4/24/2019 12:02:41,25-34,Retail (small business),General Manager,"$18/hr + $4,000 in bonuses (based on meeting sales goals)",USD,"San Diego, Ca",1 year or less,Manage 2 locations for independent retailer,
4/24/2019 12:02:42,35-44,Manufacturing,Accounts Receivable,56650,USD,"Lynn, MA, USA",11 - 20 years,,
4/24/2019 12:02:44,25-34,Legal,HR Supervisor ,105000,USD,"Boston, MA",8 - 10 years,,
4/24/2019 12:02:46,45-54,Media/journalism,managing editor,40k,USD,"Portland, Maine",11 - 20 years,,
4/24/2019 12:02:47,35-44,Business Services,Communications Coordinator,"65,000",USD,"Boise, Idaho, USA",11 - 20 years,Marketing,
4/24/2019 12:02:48,35-44,Consulting,Vice President,109000,USD,"Chicago, IL, USA",11 - 20 years,,
4/24/2019 12:02:53,35-44,Horse Racing ,Office Manager ,55000,USD,"Harrisburg, PA, USA",8 - 10 years,,
4/24/2019 12:02:53,25-34,Education,Associate professor,71050,USD,"Baltimore, MD, USA",5-7 years,I'm a math professor at a liberal arts college,
4/24/2019 12:02:54,25-34,,Librarian ,435000,USD,,5-7 years,,
4/24/2019 12:02:57,35-44,Public accounting,Marketing director,175000,USD,Philadelphia/PA/USA,21 - 30 years,,
4/24/2019 12:02:58,35-44,IT,Project Manager,25000,EUR,Italy,8 - 10 years,,
4/24/2019 12:03:02,35-44,Fundraising/Donor Relations,"Director, Donor Relations","97,500",USD,"Los Angeles, CA",11 - 20 years,,
4/24/2019 12:03:03,35-44,Hospitality,Hotel desk reception,"$30,000.00",CAD,St thomas ontario canada,21 - 30 years,Night auditor,
4/24/2019 12:03:04,35-44,Information Technology,Desktop Support Liaison,"61,000",USD,"Twin Cities, MN, USA",11 - 20 years,"Vertical slice IT support (desktop, software, systems accounts, phones, troubleshooting, and training) for assigned users.",
4/24/2019 12:03:04,35-44,Academia,Executive Assistant,"$53,000.00",USD,"Portland, OR",8 - 10 years,,
4/24/2019 12:03:07,25-34,Insurance ,Application aupport,"64,000",USD,United States ,8 - 10 years,,
4/24/2019 12:03:12,25-34,TV,script researcher,"23, 300 before tax",GBP,United Kingdom,5-7 years,I source medical and police information for a daytime soap opera,
4/24/2019 12:03:13,25-34,Nonprofit ,Program manager,47650,USD,Laconia NH USA,8 - 10 years,,
4/24/2019 12:03:13,35-44,Government,Web Developer,"62,000",CAD,"Toronto, Ontario, Canada",2 - 4 years,,
4/24/2019 12:03:16,25-34,Healthcare,Process Consultant,"79,000",USD,"Pittsburgh, pa, USA",5-7 years,,
4/24/2019 12:03:17,25-34,Technology ,Senior Data Scientist,140000,USD,Boston,8 - 10 years,,
4/24/2019 12:03:19,35-44,academia,Assistant professor,62000,EUR,Ghent / Belgium,11 - 20 years,,
4/24/2019 12:03:19,25-34,Defense,Subcontract Manager,"69,500",USD,"New Mexico, USA",2 - 4 years,Procurement/Buyer,
4/24/2019 12:03:19,45-54,manufacturing,controller,85000,USD,"Lynchburg, VA",21 - 30 years,,
4/24/2019 12:03:20,25-34,Nonprofit,Program Associate,"34,000",USD,"Austin, TX",5-7 years,,
4/24/2019 12:03:23,35-44,"Oil and Gas, Power and Emission",Application Specialist,53000,EUR,Netherlands,8 - 10 years,Advising customers regarding gas analysis in power and emission market,
4/24/2019 12:03:23,25-34,Healthcare/not for profit,Registered dietitian/department manager,"58,475",USD,Saint Louis/MO/USA,5-7 years,,
4/24/2019 12:03:27,25-34,State Government,Performance Auditor,"67,000",USD,New Hampshire,5-7 years,Audit state agencies and programs for compliance with statute and regulations as well as gauge operations for efficiency and effectiveness.,
4/24/2019 12:03:30,25-34,Temporary staffing,Scheduling Coordinator/Office Admin,"35,000",USD,Seattle Washington USA,11 - 20 years,,
4/24/2019 12:03:30,25-34,Business Consulting,Central Files In-Charge,"$24,000.00",USD,"Glendale, California, USA",11 - 20 years,Records keeper,
4/24/2019 12:03:32,25-34,Legal,Research and Knowledge Management Librarian,"58,000",USD,"Kansas City, MO USA",5-7 years,,
4/24/2019 12:03:32,25-34,Environmental Engineering,Water Resources EIT,76000,CAD,Toronto,2 - 4 years,,
4/24/2019 12:03:32,35-44,Software ,Team Lead ,130000,CAD,"Montreal, QC, Canada ",11 - 20 years,,
4/24/2019 12:03:32,18-24,Food and Beverage,Graphic Designer,47000,USD,"New York, New York, USA",2 - 4 years,,
4/24/2019 12:03:35,25-34,Computer Hardware,Program Manager,"120,000",USD,"Santa Clara, CA",11 - 20 years,"Non-technical, PMP",
4/24/2019 12:03:39,35-44,Financial Services/Investments,Office Manager,87500,USD,"Hamilton, Bermuda",11 - 20 years,Office Manger/EA for international company under 50 ppl total,
4/24/2019 12:03:40,25-34,Healthcare,Resident physician,65000,USD,"Salt Lake City, UT",8 - 10 years,,
4/24/2019 12:03:41,25-34,Marketing,Content Writer,40000,USD,Charlotte/NC/US,2 - 4 years,,
4/24/2019 12:03:43,55-64,Medical Devices,Senior Clinical Laboratory Scientist,"140,000",USD,Sunnyvale/California/US,31 - 40 years,Medical Affairs Department,
4/24/2019 12:03:45,25-34,Advertising,Media Supervisor,"$55,000.00",CAD,Canada,2 - 4 years,,
4/24/2019 12:03:45,25-34,Clinical IT,Epic Analyst,"$73,000.00",USD,"Madison, WI USA",11 - 20 years,HealthCare Electronic Medical Records IT Analyst,
4/24/2019 12:03:46,35-44,academia ,Senior Post Doctoral Scientist  ,"41,000",GBP,Oxford UK,8 - 10 years,,
4/24/2019 12:03:47,25-34,Nonprofit,Virtual Education Specialist,51000,USD,"Arlington, VA, USA",5-7 years,"Title is a step above coordinator. I run all our webinars, help with the development of new virtual courses, and create virtual supplements for our in-person events.",
4/24/2019 12:03:47,18-24,engineering,software engineer,80000,USD,"KC, MO",2 - 4 years,,
4/24/2019 12:03:51,35-44,Non-Profit/Education,Director of Institutional Advancement,"130,000",USD,"Brooklyn, NY",8 - 10 years,,
4/24/2019 12:03:52,35-44,Journalism ,TV News producer ,"80,000",USD,"Chicago, Illinois USA",11 - 20 years,,
4/24/2019 12:03:52,25-34,Non Profit,Quality Assurance Manager,61000,USD,"WA, USA",5-7 years,Lots of building quality systems/auditing around our programs,
4/24/2019 12:03:53,55-64,Health Insurance (Pharmacy Benefits Manager),Proposal Manager,"77,000",USD,"Philadelphia, PA  USA",31 - 40 years,I manage the process of responding to requests for proposal (RFP) from potential customers. I manage 4-8 RFPs at a time.,
4/24/2019 12:03:55,25-34,Financial services ,General Manager,85000,USD,"Atlanta, GA",11 - 20 years,Sales and Partner support,
4/24/2019 12:03:56,25-34,Fabric,Accountant,"35,000",USD,"New York, NY",5-7 years,Credit Card processing,
4/24/2019 12:03:57,45-54,Medical Library,Senior Librarian,"$63,000.00",USD,"Lincoln, Nebraska, United States",21 - 30 years,,
4/24/2019 12:03:58,25-34,,Product Manager,300000,USD,,5-7 years,,
4/24/2019 12:03:58,35-44,Higher Education,Assistant Dean,"92,000",USD,"Baltimore, MD, USA",11 - 20 years,,
4/24/2019 12:03:59,35-44,Insurance ,Project Manager,"88,000",USD,"Philadelphia, PA",11 - 20 years,strategic management of clinical affordablity ,
4/24/2019 12:04:01,35-44,federal government,deputy director,117000,CAD,"Ottawa, Canada",11 - 20 years,,
4/24/2019 12:04:03,25-34,Science,Postdoctoral researcher,61500,USD,Hampton Virginia USA,2 - 4 years,I'm a physical scientist working in a government lab as a postdoctoral scholar,
4/24/2019 12:04:05,35-44,Higher education,Reference librarian,"45,000",USD,Claremont CA USA,5-7 years,,
4/24/2019 12:04:05,45-54,health care,manager,62500,USD,New York,21 - 30 years,,
4/24/2019 12:04:08,25-34,Healthcare,EMR Analyst,60000,USD,Little Rock/AR/UA,5-7 years,,
4/24/2019 12:04:10,35-44,Marketing,Editor,"60,000",USD,Austin/Texas/USA,11 - 20 years,,
4/24/2019 12:04:12,35-44,education research,research associate,81000,USD,"San Francisco Bay Area, CA",11 - 20 years,,
4/24/2019 12:04:13,35-44,state government,transportation engineer,66000,USD,"houston, tx, usa",11 - 20 years,,
4/24/2019 12:04:14,35-44,Truck leasing,Sales Administrative Coordinator,37000,USD,Pittsburgh,8 - 10 years,,
4/24/2019 12:04:14,25-34,Tech,Software Research Engineer,120,USD,Portland Oregon USA,1 year or less,,
4/24/2019 12:04:15,25-34,Social Work ,Case Manager II,"62,000.00",USD,"San Leandro, CA, USA",11 - 20 years,Associate Marriage & Family Therapist ,
4/24/2019 12:04:16,25-34,Publishing,Assistant Editor,"$42,000.00",USD,New York/NY/USA,5-7 years,,
4/24/2019 12:04:17,18-24,Non profit; academic society,Program Associate,36000,USD,Washington DC,1 year or less,I work on our organization's grant funded projects doing mostly support work.,
4/24/2019 12:04:17,35-44,Arts and Culture,"Coordinator, Multimedia Services","60,000",CAD,"Ottawa, ON, Canada",5-7 years,Coordinate the digital photography of art,
4/24/2019 12:04:18,35-44,Accounting,Accounting Manager,150000,USD,"Walnut Creek, CA",11 - 20 years,,
4/24/2019 12:04:21,25-34,Construction Materials,Production Analyst,65935,USD,"Stoughton, MA, USA",8 - 10 years,,
4/24/2019 12:04:22,45-54,Information Technology,Human Resources & Payroll Manager,85000,USD,"San Francisco, CA, USA",11 - 20 years,,
4/24/2019 12:04:22,25-34,Marketing technology ,Solutions consultant ,90000,CAD,Toronto/0ntario/canada,8 - 10 years,,
4/24/2019 12:04:23,35-44,Civil Engineering,Graduate Engineer,49920,USD,"Algonac, MI, USA",11 - 20 years,,
4/24/2019 12:04:25,25-34,Hospitality / Administration ,Senior Guest Service Specialist,50250,USD,"Boston, MA, USA",5-7 years,,
4/24/2019 12:04:27,65 or over,Retail Food,Director,90000,USD,"Hartford, CT",41 years or more,Human Resources,
4/24/2019 12:04:30,35-44,Online Marketing,SEO Content Specialist,"56,000",USD,"St. Louis, MO USA",11 - 20 years,,
4/24/2019 12:04:30,25-34,Non-profit education,Literacy and Education Specialist,"36,000",USD,Jacksonville/Florida/USA,8 - 10 years,,
4/24/2019 12:04:30,35-44,Engineering consultancy ,Senior mechanical engineer ,52000,GBP,"Cambridge ,UK ",11 - 20 years,,
4/24/2019 12:04:31,25-34,Financial services,"Director, Market Transparency","143,000",USD,"Washington, DC USA",11 - 20 years,IT product owner plus public relations functions,
4/24/2019 12:04:34,45-54,Financial services,Corporate communications executive ,"410,000",USD,United States ,21 - 30 years,,
4/24/2019 12:04:35,55-64,Higher Education,Academic Advisor and Lecturer,"$57,000.00",USD,Raleigh NC ,31 - 40 years,,
4/24/2019 12:04:35,25-34,tech,digital marketing manager,"80,000",USD,"Seattle, Washington",5-7 years,,
4/24/2019 12:04:35,25-34,Higher Education,Instructional Designer,"62,000",USD,"Minneapolis, Minnesota, USA",2 - 4 years,,
4/24/2019 12:04:36,25-34,Municipal Construction,Civil Engineer,73000,CAD,Atlantic Canada,5-7 years,,
4/24/2019 12:04:37,25-34,Library,Branch Manager/Librarian,"45,500",USD,"Hickory, North Carolina",5-7 years,,
4/24/2019 12:04:38,45-54,Human Services,"Associate Vice President, Human Capital","139,000",USD,NYC,21 - 30 years,,
4/24/2019 12:04:38,25-34,Higher Education,Assistant Registrar,74200,USD,"Boulder, CO",8 - 10 years,,
4/24/2019 12:04:40,35-44,Non profit,Senior researcher,40400,USD,Minneapolis MN,11 - 20 years,,
4/24/2019 12:04:40,25-34,Government consulting,Event Planner,"50,000",USD,"Washington, DC",8 - 10 years,,
4/24/2019 12:04:40,25-34,Health insurance ,Sr business analyst,85500,USD,"Philadelphia, PA, USA ",8 - 10 years,,
4/24/2019 12:04:42,35-44,Public library,Research Specialist,75000,USD,"Boston, MA USA",11 - 20 years,Genealogy,
4/24/2019 12:04:42,45-54,Technology,Senior director workforce operations,164000,USD,St. Louis Missouri USA ,21 - 30 years,,
4/24/2019 12:04:43,45-54,Law Enforcement,Office Specialist Senior,"46,000",USD,"Naples, FL USA",21 - 30 years,,
4/24/2019 12:04:47,35-44,manufacturing,Inventory Control Analyst,60000,USD,"Columbus, OH, US",8 - 10 years,,
4/24/2019 12:04:48,25-34,Academic libraries,Electronic & Continuing Resources Librarian,"48,333",USD,"Milwaukee, Wisconsin, United States",2 - 4 years,"Non-faculty position, but one that works towards permanent appointment. We have to fulfill all tenure requirements other than specifically publishing (we can present at conferences, etc. instead).",
4/24/2019 12:04:49,55-64,Health care / academic,IT Network Administrator,75000,EUR,Berlin/Germany,21 - 30 years,,
4/24/2019 12:04:50,25-34,academia,postdoctoral associate,"46,000",USD,"Blacksburg, VA, USA",5-7 years,,
4/24/2019 12:04:54,25-34,Education,Multimedia Designer,"$55,000.00",CAD,Toronto,2 - 4 years,,
4/24/2019 12:04:57,25-34,Technology,Technical Writer,"76,000",USD,Wisconsin,5-7 years,,
4/24/2019 12:04:57,25-34,higher ed,assistant  prof,89000,USD,PA,8 - 10 years,,
4/24/2019 12:04:57,45-54,Science,Technical Manager,45000,GBP,Manchester/England,21 - 30 years,,
4/24/2019 12:04:59,35-44,Solar Energy,Senior Staff Accountant,70000,USD,"Saint Paul, MN. ",11 - 20 years,,
4/24/2019 12:05:00,25-34,finance,business development manager,150000,GBP,"London, UK",5-7 years,,
4/24/2019 12:05:02,25-34,Nonprofit,Operations Manager,"72,000.00",USD,"Washington, DC",8 - 10 years,,
4/24/2019 12:05:08,25-34,Veterinary Imaging,Senior MRI Applications Scientist,34500,GBP,England,5-7 years,Customer support for MRI machines,
4/24/2019 12:05:09,25-34,Music Licensing,Music Coordinator,"42,160",USD,"New York, NY",2 - 4 years,,
4/24/2019 12:05:09,35-44,Freight,Customer Service Manager,"$65,000.00",USD,"Holland, MI",11 - 20 years,,
4/24/2019 12:05:11,25-34,Academia,Adjunct,"$3,500.00",USD,NYC,5-7 years,,
4/24/2019 12:05:17,35-44,Grocery/retail,Accounting coordinator,"$31,500.00",USD,Iowa,11 - 20 years,,
4/24/2019 12:05:17,25-34,Non-profit art museum,Communications Officer,"40,000",USD,"Provincetown MA, USA",8 - 10 years,,
4/24/2019 12:05:20,25-34,Nonprofit,Development associate,"50,00p",USD,Washington DC USA,5-7 years,Fundraising data management,
4/24/2019 12:05:25,25-34,nonprofit,growth & partnerships manager,"60,500",USD,Chicago,5-7 years,Marketing & partnerships ,
4/24/2019 12:05:25,45-54,Real Estate,Administrative Assistant,"39,200",USD,"Cleveland, OH",21 - 30 years,,
4/24/2019 12:05:26,25-34,nonprofit legal services,managing attorney,"82,000",USD,"Houston, TX USA",5-7 years,,
4/24/2019 12:05:27,35-44,Libraries,Supervising Librarian,"94,379.22",USD,"Seattle, WA. USA",11 - 20 years,,
4/24/2019 12:05:29,25-34,technology,community advocacy lead,35k,GBP,London/UK,5-7 years,,
4/24/2019 12:05:30,35-44,Tech,Software Engineer,145000,USD,"San Jose, CA, USA",11 - 20 years,,Additional 80000 or so from stocks and bonus.
4/24/2019 12:05:34,35-44,Health Insurance,Customer Service Trainer,51300,USD,"Little Rock, Arkansas USA",21 - 30 years,,
4/24/2019 12:05:35,35-44,Academia,Scholarship Officer,"61,500",USD,"New York, NY",11 - 20 years,,
4/24/2019 12:05:36,25-34,Book Publishing,marketing manager,57000,USD,NYC,5-7 years,,
4/24/2019 12:05:36,25-34,Software,Software Implementation Engineer,130000,USD,Seattle / WA / USA,11 - 20 years,,
4/24/2019 12:05:37,35-44,Government ,HR Generalist,56000,USD,St. Louis/MO/USA,11 - 20 years,,
4/24/2019 12:05:39,35-44,Non Profit - Mental Health ,Program Manager,"67,000",USD,"Northern California, United States",11 - 20 years,"Manage a children's mental health program, hold a clinical license",
4/24/2019 12:05:39,55-64,Medical Education,Program Manager,"68, 770",USD,"Portland, Maine USA",31 - 40 years,,
4/24/2019 12:05:39,25-34,Higher Ed,Associate Director of Alumni Affairs,61000,USD,"Gainesville, FL USA",8 - 10 years,"I'm an associate director, but it's a team of one",
4/24/2019 12:05:43,35-44,Media,Producer,"12,000 - 200,000",CAD,,11 - 20 years,,
4/24/2019 12:05:43,35-44,Academia,Assistant Professor of History,"58,700",USD,Pittsburgh/PA/USA,8 - 10 years,,
4/24/2019 12:05:44,18-24,Government,Analyst,80000,USD,,2 - 4 years,,
4/24/2019 12:05:44,35-44,Manufacturing,Marketing Director,160000,USD,"Austin, TX",21 - 30 years,,
4/24/2019 12:05:45,35-44,Healthcare,Database Developer,95000,USD,"Denver, Colorado, USA",11 - 20 years,,
4/24/2019 12:05:46,25-34,Technology,Programs Coordinator,"60,000",USD,"Raleigh, NC, USA",2 - 4 years,,
4/24/2019 12:05:46,25-34,Education Technology,Research Associate,53000,USD,,2 - 4 years,,
4/24/2019 12:05:48,25-34,Insurance ,Total Rewards Manager ,82500 + 10% target bonus,USD,"Chicago, IL, USA",5-7 years,,
4/24/2019 12:05:50,25-34,US federal government ,Frontline manager,117000,USD,"Washington, DC ",8 - 10 years,,
4/24/2019 12:05:51,25-34,Academic Libraries,Liaison Librarian,"74,000",CAD,"Toronto, Ontario, Canada",2 - 4 years,,
4/24/2019 12:05:51,65 or over,Aerospace,Engineer,"110,000",USD,Savannah,41 years or more,,
4/24/2019 12:05:54,25-34,Non-profit,Outreach Manager,"53,500",CAD,"Toronto, ON, Canada",5-7 years,,
4/24/2019 12:05:57,25-34,Regulatory College (non-profit),Administrator,64000,CAD,"Toronto, ON, Canada",2 - 4 years,,
4/24/2019 12:05:58,35-44,Media,Copyeditor,"38,500",USD,Connecticut,11 - 20 years,,
4/24/2019 12:05:58,35-44,museum/government,production assistant,"$65,000.00",USD,"Washington, D.C.",11 - 20 years,publishing books and other printed ephemera ,
4/24/2019 12:05:59,25-34,Libraries,Technical Services Librarian,"37,000",USD,"Hampton, NH, US",2 - 4 years,"I do cataloging, IT, and reference work for a public library",
4/24/2019 12:06:00,35-44,Clinical Research Trials,Clinical Research Manager,"$56,963.00",USD,Grand Rapids/Michigan/USA,11 - 20 years,,
4/24/2019 12:06:04,35-44,Insurance,Commercial Lines Product Manager,"97,500",USD,"Des Moines, Iowa",11 - 20 years,,
4/24/2019 12:06:06,25-34,Marketing,Marketing Account Strategist,"$39,000.00",USD,"Raleigh, NC",2 - 4 years,"Project Manager, Account Manager",
4/24/2019 12:06:06,18-24,Civil Engineering (land development),Graduate Engineer,"$68,000.00",USD,Nashville/TN/USA,2 - 4 years,,
4/24/2019 12:06:06,25-34,Software,Web Developer,78500,USD,Richland/Washington/United States,8 - 10 years,,
4/24/2019 12:06:12,25-34,Banking (credit union),Consumer Loans Operations Specialist,"$40,500.00",USD,"Seattle, Washington, USA",8 - 10 years,"I help with the operations side of financing loans (ie financing purchases like roof or hot tub) so drafting contracts, managing lien filings, organizational stuff",
4/24/2019 12:06:13,18-24,Finance,Broker,25.25,USD,Ga,31 - 40 years,,
4/24/2019 12:06:15,45-54,Retail,Visual & Communications Specialist,"68,000",USD,"New Jersey, USA",21 - 30 years,"I wear many hats: Graphic design, website management, paid social media advertising management, communications, and more",
4/24/2019 12:06:15,25-34,Tech,Product Manager,"190,000",USD,"San Jose, CA, USA",8 - 10 years,,
4/24/2019 12:06:18,35-44,Software,Sales Support Manager II,85000,USD,"Kansas City, MO, USA",11 - 20 years,,
4/24/2019 12:06:20,35-44,Insurance - Property & Casualty,Team Lead - Business Services,72000,USD,"Concord, NH USA",5-7 years,"Lead a team of 4 BAs, with responsibilities split between BA work & lead work",
4/24/2019 12:06:20,35-44,Interior Design,Associate Interior Designer,61000,CAD,Toronto/Ontario/Canada,8 - 10 years,,
4/24/2019 12:06:21,25-34,Market Research,Video Editor,65000,USD,"St Louis, MO USA",8 - 10 years,,
4/24/2019 12:06:24,25-34,Social work ,Counsellor ,39000,CAD,"Vancouver, BC ",2 - 4 years,Trauma therapist at a non profit agency 3 days/week,
4/24/2019 12:06:26,35-44,IT,Senior Analyst,61000,USD,Columbus/Ohio/United States,21 - 30 years,Data and Business analyst,
4/24/2019 12:06:26,35-44,Healthcare,HR coordinator,"$62,500.00",CAD,"London, Ontario, Canada ",11 - 20 years,,
4/24/2019 12:06:27,25-34,,Research Analyst,65000,USD,Tennessee,2 - 4 years,,
4/24/2019 12:06:29,25-34,Forensic Accounting,Principal,145000,USD,"Washington, DC",8 - 10 years,Consultant,
4/24/2019 12:06:29,25-34,Automotive,Product Engineer,92000,USD,"Auburn Hills, MI",2 - 4 years,,
4/24/2019 12:06:32,35-44,State government/Education,Education Program Professional,"61,888",USD,Nevada,11 - 20 years,I oversee a federal education grant,
4/24/2019 12:06:34,45-54,Entertainment,Account Manager,"$66,000.00",CAD,"Toronto, ON, Canada",21 - 30 years,,
4/24/2019 12:06:34,25-34,Music,VP,"180,000",USD,"NY, NY, USA",8 - 10 years,,
4/24/2019 12:06:35,25-34,Health Care,Data Analyst Sr,105000,USD,"Seattle, WA, USA",8 - 10 years,,
4/24/2019 12:06:37,25-34,Property Management,Bookkeeper/Accounting Clerk,56500,USD,Wellesley/MA/USA,5-7 years,"Bookkeeping for eight companies, accounts payable, accounts receivable, rent and other collections",
4/24/2019 12:06:39,25-34,Publishing,Publisher,"90,000",USD,"Philadelphia, PA",11 - 20 years,Medical Journals,
4/24/2019 12:06:39,35-44,Commercial Printing,Account Coordinator,40000,USD,"NH, USA",8 - 10 years,,
4/24/2019 12:06:41,35-44,Tech,"Manager, Content Planning and Production",163000,USD,"Sunnyvale, CA, USA",11 - 20 years,,
