Timestamp,Employment Type,Company Name,Company Size - # Employees,Primary Location (Country),Primary Location (City),Industry in Company,Public or Private Company,Years Experience in Industry,Years of Experience in Current Company  ,Job Title In Company,Job Ladder,Job Level,Required Hours Per Week,Actual Hours Per Week,Highest Level of Formal Education Completed,Total Base Salary in 2018 (in USD),Total Bonus in 2018 (cumulative annual value in USD),Total Stock Options/Equity in 2018 (cumulative annual value in USD),Health Insurance Offered,Annual Vacation (in Weeks),Are you happy at your current position?,Do you plan to resign in the next 12 months?,What are your thoughts about the direction of your industry?,Gender,Final Question: What are the top skills (you define what that means) that you believe will be necessary for job growth in your industry over the next 10 years?,Have you ever done a bootcamp? If so was it worth it?
9/11/2019 8:42:11,Self-Employed,My own,1-19,Australia (AU),Remote,Web Development,Private,10-20,5-10,Devops,Web Developer,1 (I),20-39,20-39,High School,68000,8000,0,N/A,2,Yes,No,,Male,"Vue.js, React, Magento",No - never did one
9/11/2019 8:42:48,Contractor,,"1,000-9,999",Poland (PL),,Internet Services,Public,5-10,0-2,Java developer ,Software Engineer (SWE),,20-39,20-39,Graduate Degree,45000,,,Yes,6+,Yes,Don't know,,Male,,No - never did one
9/11/2019 8:43:22,Full-time,Rather not say,"10,000-99,999",United States (US),San Francisco,Hardware,Public,20+,5-10,Principal Systems Engineer,Software Engineer (SWE),7 (VII),40+,50-69,High School,165000,220000,0,Yes,4,It's Complicated,Don't know,Big companies buying up startups and then fucking them up is a massive problem,It's complicated,The ability to speak Hindi and Mandarin,Yes - worthless
9/11/2019 8:43:23,Full-time,,100-999,Denmark (DK),,Telecommunications,Private,5-10,2-5,Systems Administrator,System Admin,,20-39,40-49,Trade School,60400,,,Yes,5,Yes,Don't know,,Male,,No - never did one
9/11/2019 8:44:04,Full-time,Nope,"1,000-9,999",United States (US),,Education,Non-profit,2-5,2-5,System Administrator,System Admin,3 (III),40+,40-49,Undergraduate Degree,74000,2200,0,Yes,2,Yes,No,,Male,,No - never did one
9/11/2019 8:44:12,Full-time,,100-999,Australia (AU),,IT,Public,10-20,,IT Manager,Management,,20-39,40-49,Graduate Degree,110000,,,No,4,Yes,No,,,,
9/11/2019 8:44:15,Full-time,Athenium Analyics,100-999,United States (US),DC,Insurance,Private,2-5,2-5,Data Scientist,Data Scientist,2 (II),40+,40-49,Graduate Degree,70000,0,5000,Yes,3,Yes,Yes,,Male,"AI, deep learning, NLP",No - never did one
9/11/2019 8:44:20,Full-time,Cpc,100-999,United States (US),Seattle ,Healthcare,Non-profit,10-20,10-20,Systems Administrator ,System Admin,,40+,40-49,High School,54000,0,0,Yes,6+,It's Complicated,Yes,,Male,Cloud virtualization ,No - never did one
9/11/2019 8:44:28,Full-time,,100-999,Spain (ES),Marbella,Gambling,Public,2-5,2-5,Technical Lead,Web Developer,,20-39,20-39,High School,60739,0,0,Yes,5,Yes,Don't know,,Male,,No - never did one
9/11/2019 8:44:33,Full-time,,100-999,United Kingdom (GB),,Finance,Private,10-20,0-2,Senior Operations Engineer,Dev-Ops,2 (II),20-39,20-39,Undergraduate Degree,95000,0,0,Yes,6+,Yes,Don't know,,Male,,No - never did one
9/11/2019 8:44:34,Full-time,,"10,000-99,999",United States (US),,Software,Public,2-5,0-2,Software Development Engineer in Test,QA,,40+,20-39,Undergraduate Degree,93000,7000,14000,Yes,6+,Yes,No,,Male,,No - never did one
9/11/2019 8:44:35,Full-time,Innovative software services gmbh,20-99,Germany (DE),Stuttgart,Software,Private,2-5,0-2,Senior software engineer,Software Engineer (SWE),,20-39,20-39,Graduate Degree,62000,1000,0,Yes,6+,Yes,No,,Male,,No - never did one
9/11/2019 8:44:43,Full-time,,100-999,United Kingdom (GB),,IT,Private,0-2,0-2,IT Service Desk Apprentice,Technical Support Engineer,1 (I),40+,50-69,Professional Certifications,14200,0,0,Yes,4,No,Yes,help me,Female,,No - never did one
9/11/2019 8:45:37,Full-time,,"1,000-9,999",Bulgaria (BG),,"Outsourcing company. Mainly related to clinical/commercial research, medical device support, device shipping etc.",Public,2-5,2-5,CRM Administrator,Dev-Ops,5 (V),40+,40-49,High School,20330,950,,Yes,4,Yes,Don't know,,Male,,No - never did one
9/11/2019 8:46:08,Full-time,,"1,000-9,999",Belgium (BE),Brussels,Finance,Private,5-10,0-2,Windows System Administrator,System Admin,4 (IV),20-39,20-39,High School,60000,12000,0,Yes,6+,Yes,No,,Male,PowerShell,No - never did one
9/11/2019 8:46:09,Full-time,Defence Contractor,"10,000-99,999",United Kingdom (GB),London,Consulting,Public,5-10,5-10,Senior Manager,Cyber,,40+,50-69,Graduate Degree,80000,3000,,Yes,6+,Yes,No,,Male,,No - never did one
9/11/2019 8:46:29,Full-time,Hays,"1,000-9,999",Germany (DE),Mannheim,personal services related,Public,10-20,2-5,Network Administrator,System Admin,,40+,20-39,High School,77000,0,0,Yes,6+,Yes,No,,Male,,No - never did one
9/11/2019 8:47:07,Full-time,State of Alaska,"10,000-99,999",United States (US),Anchorage,Public Sector,Public,10-20,10-20,Systems Programmer III,Management,,40+,40-49,Undergraduate Degree,125000,,,Yes,6+,Yes,No,,Male,"Continuing education, people skills, project management ",Yes - meh
9/11/2019 8:48:15,Full-time,,20-99,Austria (AT),,IT,Private,5-10,0-2,IT System Administrator,System Admin,6 (VI),40+,40-49,Trade school with A-levels,49480,0,0,Yes,5,Yes,No,Automation will become even more important,Male,Cloud administration,No - never did one
9/11/2019 8:49:18,Full-time,The Trade Desk,"1,000-9,999",United States (US),Denver,Advertising,Public,2-5,0-2,Software Engineer,Software Engineer (SWE),,40+,40-49,Undergraduate Degree,135000,0,0,Yes,3,Yes,No,,Male,"Javascript, web development, database, apis",No - never did one
9/11/2019 8:49:23,Full-time,,100-999,United States (US),San Jose,Telecommunications,Private,2-5,0-2,Linux Systems Administrator,System Admin,,40+,40-49,Undergraduate Degree,110000,7000,2500,Yes,2,Yes,No,,Male,"Ansible, Cloud platforms",No - never did one
9/11/2019 8:49:31,Full-time,,1-19,United States (US),,FinTech,Private,2-5,0-2,Site Reliability Engineer,Site Reliability Engineer (SRE),,40+,70-89,Undergraduate Degree,100000,20000,,Yes,4,Yes,No,,Male,,No - never did one
9/11/2019 8:50:00,Full-time,Sixt SE,"10,000-99,999",Germany (DE),Munich,Automotive,Public,5-10,5-10,System Engineer III Datacenter Management,System Admin,3 (III),40+,40-49,High School,61000,30000,0,Yes,6+,It's Complicated,Don't know,,Male,,Yes - worthless
9/11/2019 8:50:26,Full-time,,100-999,Australia (AU),Melbourne,Retail,Public,2-5,2-5,Level 1 service desk analyst,System Admin,1 (I),20-39,50-69,Graduate Degree,41238,3000,,No,4,Yes,Yes,,Male,,Yes - loved it
9/11/2019 8:52:14,Full-time,Jail,100-999,Netherlands (NL),Maastricht,Healthcare,Non-profit,2-5,2-5,Systems and Network Administrator,System Admin,,20-39,20-39,Trade School,24000,0,0,Yes,4,It's Complicated,Don't know,,Male,"Automation, security, communication to C-level / management, Linux",No - never did one
9/11/2019 8:52:24,Full-time,Northern Computer ,20-99,Canada (CA),,Consulting,Private,2-5,2-5,Network Support Specialist ,Technical Support Engineer,,40+,40-49,Trade School,76000,,,Yes,2,It's Complicated,Don't know,,Male,,No - never did one
9/11/2019 8:53:42,Full-time,Exorigo-Upos,"1,000-9,999",Poland (PL),Warszawa,IT,Private,2-5,0-2,Starszy Specjalista ds. Wsparcia IT,Technical Support Engineer,,20-39,20-39,Graduate Degree,10451.01,0,0,Yes,3,Yes,No,,Male,,No - never did one
9/11/2019 8:54:04,Contractor,Non disclosed,1-19,France (FR),Paris,Finance,Private,5-10,0-2,Senior Full Stack / Architect,Software Engineer (SWE),2 (II),20-39,20-39,Graduate Degree,92400,0,0,No,5,It's Complicated,Yes,"Mediocrity is the rule, talent are rare. large part of the industry still think IT is black magic.",Male,AI / Data Science,No - never did one
9/11/2019 8:54:46,Full-time,,20-99,Malta (MT),,Retail,Private,2-5,2-5,System Adminin,System Admin,,40+,40-49,,21000,0,,No,5,It's Complicated,Yes,,Male,,No - never did one
9/11/2019 8:54:51,Full-time,,20-99,United States (US),Los Angeles,Software,Private,5-10,0-2,Principle DevOps Engineer,Dev-Ops,,40+,50-69,Undergraduate Degree,175000,,55000,Yes,0,Yes,No,,Male,"More development work, kubernetes, more refined automation workflows",No - never did one
9/11/2019 8:55:03,Full-time,,100-999,United States (US),WFH,Healthcare,Private,2-5,0-2,Software Developer 2,Software Engineer (SWE),2 (II),40+,40-49,Undergraduate Degree,92000,0,0,Yes,2,Yes,No,,Male,,No - never did one
9/11/2019 8:55:57,Full-time,,100-999,Belgium (BE),Brussels,Consulting,Private,0-2,0-2,Consultant,Web Developer,2 (II),40+,40-49,Professional Certifications,26000,5000,,Yes,4,Yes,Don't know,,Male,,Yes - loved it
9/11/2019 8:56:09,Full-time,Amazon,"100,000+",United States (US),,Internet Services,Public,5-10,2-5,Technical Account Manager,Technical Support Engineer,6 (VI),40+,50-69,Undergraduate Degree,130000,,20000,Yes,4,Yes,No,"Every day is new, exciting, and interesting, and brings new challenges to explore. Those who refuse to accept change, or who are only in it for money, are bound to be frustrated and burn out.",Meat Popsicle,Genuine interest and willingness to learn new things,Yes - loved it
9/11/2019 8:56:28,Part-time,,20-99,Denmark (DK),Copenhagen,"Web development, integration development and hosting",Private,0-2,0-2,Backend eveloper,Software Engineer (SWE),,10-19,10-19,High School,12000,,,N/A,0,It's Complicated,Yes,,Male,,No - never did one
9/11/2019 8:57:21,Full-time,,100-999,Germany (DE),Berlin ,Advertising,Private,2-5,0-2,Sysadmin,System Admin,,40+,40-49,Professional Certifications,47000,,,Yes,6+,It's Complicated,Yes,,Male,,No - never did one
9/11/2019 8:57:22,Full-time,Amazon,"100,000+",United States (US),Seattle,Software,Public,5-10,2-5,Software Development Engineer,Software Engineer (SWE),1 (I),40+,40-49,Undergraduate Degree,108500,22000,3000,Yes,4,Yes,No,"Rapid growth but generally unexciting, save for a few surprises.",Male,"AI, ""cloud"" services (AWS, Azure, Firebase)",No - never did one
9/11/2019 8:59:59,Full-time,,"1,000-9,999",New Zealand (NZ),,Internet Services,Public,10-20,5-10,Network Engineer,Network Engineer,2 (II),40+,40-49,High School,63014,,,Yes,4,It's Complicated,Don't know,,,,Yes - meh
9/11/2019 9:01:00,Full-time,Medium sized ISP,20-99,Italy (IT),Milan,Internet Services,Private,0-2,0-2,Junior Network Administrator,Newtork Admin,,40+,40-49,Professional Certifications,15500,,,N/A,3,Yes,Don't know,,Male,,Yes - worthless
9/11/2019 9:02:30,Full-time,Scan Computers,100-999,United Kingdom (GB),Bolton,IT,Private,5-10,2-5,System builder,Hardware Engineer,,20-39,40-49,Professional Certifications,17500,25,0,No,4,It's Complicated,Don't know,,Male,,No - never did one
9/11/2019 9:02:39,Full-time,,20-99,Denmark (DK),Copenhagen,Web Development,Private,2-5,0-2,DevOps Consultant,Dev-Ops,,20-39,20-39,Trade School,72000,0,0,Yes,6+,Yes,No,,Male,"DevOps and SecOps. If not directly, then atleast knowing about it and incorporating kt",No - never did one
9/11/2019 9:02:48,Full-time,EPAM,"10,000-99,999",Belarus (BY),Kyiv,IT,Public,5-10,2-5,Solution Architect,Software Engineer (SWE),1 (I),40+,20-39,Graduate Degree,60000,2000,0,Yes,3,It's Complicated,Don't know,,Male,,No - never did one
9/11/2019 9:03:40,Full-time,,"10,000-99,999",United Kingdom (GB),London,AFC,Private,2-5,0-2,AVP,Data Scientist,3 (III),20-39,20-39,Graduate Degree,100000,5000,0,Yes,6+,Yes,Don't know,,Male,,No - never did one
9/11/2019 9:03:48,Full-time,,100-999,Belgium (BE),Maldegem,Manufacturing,Private,5-10,2-5,Application administrator,System Admin,,20-39,40-49,Undergraduate Degree,40000,65000,,Yes,5,Yes,No,,,"Automation, ability to accurately identify issue and their cause, Ability to look up and absorb new information",
9/11/2019 9:04:05,Full-time,,100-999,United States (US),,Education,Private,0-2,0-2,Support engineer,Software Engineer (SWE),,40+,20-39,Undergraduate Degree,80000,0,0,Yes,3,Yes,No,,Male,,Yes - loved it
9/11/2019 9:04:13,Full-time,,"10,000-99,999",Lithuania (LT),,Software,Private,10-20,5-10,Product manager,Product Manager,,40+,40-49,Undergraduate Degree,100000,5000,,N/A,5,Yes,No,,Male,,No - never did one
9/11/2019 9:04:52,Full-time,-,20-99,United Kingdom (GB),,Web Development,Private,5-10,5-10,Web Developer,Web Developer,,20-39,40-49,Graduate Degree,47560,1482,0,N/A,3,It's Complicated,Don't know,,Male,,No - never did one
9/11/2019 9:05:13,Full-time,,100-999,United Kingdom (GB),,Finance,Private,2-5,0-2,DevOps Engineer,Dev-Ops,,20-39,20-39,High School,55564,,,Yes,5,Yes,Don't know,,Male,,No - never did one
9/11/2019 9:06:51,Full-time,3M,"10,000-99,999",United States (US),Pittsburgh,Healthcare,Public,20+,5-10,Software engineering manager,Software Engineer (SWE),,40+,40-49,Undergraduate Degree,133000,10000,0,Yes,5,Yes,No,Death ensures job security in health care.,Male,"Machine learning, typing, being nice to people",No - never did one
9/11/2019 9:06:55,Full-time,Financial ,"1,000-9,999",United States (US),,Finance,Public,5-10,5-10,System Engineer/Devops Engineer,Technical Support Engineer,,40+,20-39,High School,73000,0,0,Yes,4,Yes,No,,Male,"Devops, Containers, Distributed Computing, Cloud computing, Automation of everything",No - never did one
9/11/2019 9:07:36,Full-time,,"1,000-9,999",United Kingdom (GB),,Logistics,Private,10-20,5-10,Information Security Analyst,System Admin,,20-39,40-49,Graduate Degree,61750,12350,,Yes,5,Yes,No,,,,No - never did one
9/11/2019 9:08:38,Full-time,,100-999,United States (US),Spokane,Consulting,Private,10-20,10-20,Sysadmin,System Admin,,40+,40-49,Professional Certifications,65000,,,Yes,4,Yes,No,,Male,,No - never did one
9/11/2019 9:08:41,Full-time,,20-99,Germany (DE),Bavaria,Energy,Private,2-5,2-5,IT-Administrator,System Admin,,40+,40-49,"Mittlere Reife, Ausbildung",42420,3535,,Yes,5,It's Complicated,No,,Male,,No - never did one
9/11/2019 9:08:56,Full-time,,100-999,Norway (NO),,Manufacturing,Private,10-20,2-5,IT Technician,System Admin,,20-39,20-39,High School,48000,0,4800,Yes,5,Yes,No,,Female,,No - never did one
9/11/2019 9:09:13,Full-time,,1-19,Netherlands (NL),,Consulting,Private,0-2,0-2,Cloud Engineer,Dev-Ops,,40+,40-49,Graduate Degree,57000,5000,0,N/A,5,Yes,No,,Male,,Yes - meh
9/11/2019 9:09:26,Full-time,,20-99,Netherlands (NL),,Internet Services,N/A,0-2,0-2,Front-end Developer,Web Developer,,20-39,20-39,Graduate Degree,33000,0,,N/A,4,Yes,No,,Male,,No - never did one
9/11/2019 9:09:51,Full-time,,100-999,United States (US),St Louis,Biology/Chemistry/Natural Sciences,Public,5-10,0-2,Software Engineer,Software Engineer (SWE),,40+,40-49,Undergraduate Degree,164000,0,0,Yes,3,Yes,No,,Male,"full stack experience, cloud technologies, dev ops, leadership, work to help the larger group",No - never did one
9/11/2019 9:10:30,Full-time,,"10,000-99,999",Canada (CA),,IT,Public,10-20,2-5,Senior Systems Administrator,System Admin,,40+,40-49,Trade School,83349,0,,Yes,5,Yes,No,,Male,,No - never did one
9/11/2019 9:11:01,Full-time,,20-99,India (IN),,Web Development,Private,10-20,5-10,Technical lead,Web Developer,7 (VII),40+,40-49,Undergraduate Degree,42000,7000,,Yes,2,Yes,Don't know,,Male,,No - never did one
9/11/2019 9:12:02,Full-time,,"1,000-9,999",United States (US),,Software,Public,2-5,,Software Engineer,Software Engineer (SWE),2 (II),20-39,40-49,Undergraduate Degree,168000,30000,70000,Yes,6+,Yes,No,,Male,,No - never did one
9/11/2019 9:12:43,Full-time,,100-999,Italy (IT),,IT,Private,2-5,0-2,Junior SysAdmin,System Admin,,20-39,20-39,High School,26000,1000,,Yes,2,It's Complicated,Don't know,"Cloud, unfortunately. And with migrations that are ""planned"" catastrophically.",Male,"Automation (Powershell, bash/general scripting) would be the main one.",No - never did one
9/11/2019 9:13:30,Full-time,Cloudflare,"1,000-9,999",United States (US),Austin,Internet Services,Private,0-2,0-2,Systems Engineer,Software Engineer (SWE),1 (I),40+,40-49,Undergraduate Degree,90000,,12000,Yes,5,Yes,No,,Male,"Process automation, efficient debugging, ability to learn and keep up with the newest trends, working on legacy systems, new languages (rust) and the ability to communicate",No - never did one
9/11/2019 9:14:19,Full-time,,"1,000-9,999",Denmark (DK),Copenhagen,Logistics,Public,0-2,0-2,Developer,Dev-Ops,,20-39,20-39,High School,66620,,,Yes,5,Yes,No,,Male,,No - never did one
9/11/2019 9:14:24,Full-time,Prefer not to say,20-99,Denmark (DK),,Internet Services,Private,2-5,0-2,Hosting Technician,System Admin,,20-39,20-39,Graduate Degree,71000,0,0,N/A,6+,Yes,No,,Male,automation,No - never did one
9/11/2019 9:15:03,Full-time,,"1,000-9,999",United States (US),,Retail,Private,5-10,0-2,Sr Devops ,Dev-Ops,,40+,40-49,Undergraduate Degree,130000,,,Yes,3,Yes,No,,Male,,No - never did one
9/11/2019 9:15:09,Full-time,,20-99,Norway (NO),,Religious Society,Non-profit,2-5,5-10,IT Team Lead,System Admin,,20-39,20-39,High School,55000,,,N/A,5,Yes,Don't know,,Female,,Yes - meh
9/11/2019 9:15:29,Full-time,,"1,000-9,999",France (FR),,Biology/Chemistry/Natural Sciences,Academia,2-5,2-5,Researcher,Research,,40+,40-49,Graduate Degree,49000,,,Yes,6+,Yes,No,,Male,,No - never did one
9/11/2019 9:16:46,Full-time,,1-19,Brazil (BR),,IT,Private,5-10,2-5,Manager,System Admin,,40+,40-49,Graduate Degree,36000,,,Yes,4,Yes,Yes,,Male,,No - never did one
9/11/2019 9:17:02,Full-time,,20-99,United Kingdom (GB),Oxford,Software,Private,0-2,,Junior Software Developer,Software Engineer (SWE),,20-39,20-39,Undergraduate Degree,43000,,,N/A,5,Yes,No,,Male,Cloud platforms ,No - never did one
9/11/2019 9:18:58,Full-time,,100-999,United States (US),,IT,Private,0-2,0-2,NOC Specialist,Network Engineer,2 (II),40+,40-49,Professional Certifications,65000,0,0,Yes,2,It's Complicated,Don't know,,Male,,No - never did one
9/11/2019 9:19:21,Full-time,correctonet,1-19,Belgium (BE),,IT,Private,2-5,2-5,Infrastructure manager,System Admin,,20-39,40-49,High School,24700,0,0,Yes,3,Yes,No,,Male,,No - never did one
9/11/2019 9:20:26,Full-time,,100-999,New Zealand (NZ),,Energy,Public,10-20,0-2,Service Desk Analysts ,Technical Support Engineer,,40+,50-69,Professional Certifications,44000,,,Yes,4,Yes,No,,Male,Automation,No - never did one
9/11/2019 9:20:35,Full-time,,100-999,United States (US),Remote,Software,Private,5-10,0-2,Systems Reliability Engineer,Customer Success,,40+,20-39,High School,108000,0,2000,Yes,6+,No,Yes,,Male,"Cloud, automation",No - never did one
9/11/2019 9:20:47,Full-time,Intel,"100,000+",United States (US),,Logistics,Public,0-2,0-2,New Product Planner,Product Manager,,40+,40-49,Undergraduate Degree,75000,5000,,Yes,2,Yes,No,,Male,,No - never did one
9/11/2019 9:21:33,Full-time,Apple,"10,000-99,999",United States (US),Sunnyvale,Retail,Public,2-5,2-5,Manager,Management,2 (II),40+,40-49,Undergraduate Degree,190000,40000,0,Yes,4,It's Complicated,No,,Male,,No - never did one
9/11/2019 9:22:09,Full-time,Technology Solutions,1-19,New Zealand (NZ),Masterton,IT,Private,10-20,2-5,Senior Systems Administrator,System Admin,,40+,40-49,Professional Certifications,48200,0,0,N/A,4,It's Complicated,Don't know,,Male,"communication, business solutions, client management, server support",No - never did one
9/11/2019 9:22:27,Full-time,,20-99,France (FR),Ardèche,Public Sector,N/A,0-2,0-2,webdev,Web Developer,,20-39,40-49,Graduate Degree,30000,,,N/A,6+,Yes,No,,Male,,No - never did one
9/11/2019 9:22:33,Full-time,,100-999,United Kingdom (GB),Bristol,Software,Public,5-10,5-10,IT Engineer ,System Admin,3 (III),20-39,20-39,Professional Certifications,43216.25,0,0,Yes,3,Yes,Yes,,Male,Cloud Skills,No - never did one
9/11/2019 9:22:40,Full-time,Big Bi,100-999,South Africa (ZA),Cape Town,Consulting,Public,5-10,2-5,Sysadmin,System Admin,,20-39,20-39,Professional Certifications,36000,680,0,No,3,It's Complicated,Don't know,,Male,,No - never did one
9/11/2019 9:23:50,Full-time,,100-999,United States (US),Madison,IT,Public,20+,20+,Director,Management,,40+,40-49,Graduate Degree,105000,,,Yes,6+,Yes,No,,Male,,No - never did one
9/11/2019 9:24:44,Full-time,Travel Industry Tech Company,100-999,Germany (DE),,Travel Industry,Private,2-5,0-2,Linux System Engineer,System Admin,,20-39,20-39,Apprenticeship,55000,5000,0,N/A,6+,Yes,No,,Female,,No - never did one
9/11/2019 9:26:10,Full-time,,"10,000-99,999",United States (US),,Automotive,Public,0-2,0-2,Graduate Software Engineer,Software Engineer (SWE),,20-39,20-39,Undergraduate Degree,44400,,,N/A,5,Yes,No,,Male,,No - never did one
9/11/2019 9:26:14,Full-time,,"1,000-9,999",United States (US),"Seattle, Washington",Software,Private,2-5,2-5,Software Engineer,Software Engineer (SWE),,40+,40-49,Undergraduate Degree,158000,20000,200000,Yes,6+,It's Complicated,No,,Male,,No - never did one
9/11/2019 9:26:19,Full-time,,"10,000-99,999",United States (US),,IT,Private,5-10,5-10,Principal Cyber Analyst,Management,,40+,0-10,Graduate Degree,125000,32000,,Yes,4,Yes,No,"The cyber arena is a complicated hot mess. As long as breaches continue to occur , there will be jobs available in this industry.",Male,"Networking, System functionality, writing skills.",No - never did one
9/11/2019 9:26:53,Full-time,,1-19,France (FR),,Internet Services,Private,5-10,,Customer Success Manager,Product Manager,,20-39,20-39,Undergraduate Degree,50000,,,Yes,5,Yes,Don't know,,,,
9/11/2019 9:27:28,Full-time,Establish,"1,000-9,999",Bosnia and Herzegovina (BA),Sarajevo,IT,Private,10-20,5-10,System Administrator,System Admin,,40+,20-39,High School,8800,200,0,Yes,3,It's Complicated,Yes,,Male,"DevOps, Programming",No - never did one
9/11/2019 9:27:32,Full-time,,"1,000-9,999",New Zealand (NZ),Wellington ,Education,Academia,10-20,2-5,Technical Specialist,System Admin,,20-39,20-39,Undergraduate Degree,58000,0,0,N/A,5,Yes,No,,Male,,No - never did one
9/11/2019 9:28:51,Contractor,,"10,000-99,999",United States (US),Dallas,Logistics,Public,2-5,0-2,Windows systems administrator ,System Admin,,40+,40-49,Undergraduate Degree,90000,,,Yes,2,Yes,No,,Male,,Yes - meh
9/11/2019 9:30:38,Full-time,,100-999,New Zealand (NZ),,Finance,Private,2-5,2-5,Sys Admin,System Admin,,40+,40-49,Undergraduate Degree,35000,,,N/A,4,Yes,No,,Male,,No - never did one
9/11/2019 9:31:33,Full-time,Optimised Buildings,20-99,United Kingdom (GB),Ashby,Energy,Private,0-2,0-2,Systems and Software Engineer,Software Engineer (SWE),2 (II),40+,40-49,Undergraduate Degree,39000,0,0,N/A,4,Yes,No,,Male,,No - never did one
9/11/2019 9:31:33,Full-time,Woolworths Group,"100,000+",Australia (AU),Sydney,Retail,Public,2-5,0-2,Portfolio Coordinator,Program Manager,,40+,40-49,Professional Certifications,75000,,,N/A,4,No,Yes,,Male,"emotional intelligence, stakeholder partnership, business acumen, risk management, judgement",No - never did one
9/11/2019 9:31:54,Full-time,,100-999,United Kingdom (GB),Bristol,Aerospace,Private,5-10,5-10,IT & InfoSec Manager,Technical Support Engineer,7 (VII),20-39,40-49,Professional Certifications,46300,3700,,Yes,4,Yes,No,Very security focused.,Male,,No - never did one
9/11/2019 9:31:58,Full-time,,100-999,United Kingdom (GB),,General Engineering,Public,2-5,0-2,IT Infrastructure Engineer,Hardware Engineer,,20-39,20-39,Graduate Degree,39000,1250,0,N/A,5,Yes,Don't know,,Male,,No - never did one
9/11/2019 9:32:48,Full-time,Tata Consultancy Services,"100,000+",Hungary (HU),Budapest,Consulting,Private,5-10,5-10,System administrator,System Admin,,40+,40-49,Trade School,19000,1600,,Yes,5,It's Complicated,Don't know,,Male,,No - never did one
9/11/2019 9:32:53,Full-time,TD Bank Group,"10,000-99,999",Canada (CA),Toronto,IT,Public,2-5,2-5,Project Manager,Program Manager,9 (IX),40+,40-49,Undergraduate Degree,67000,6000,,Yes,5,It's Complicated,Don't know,,Male,,No - never did one
9/11/2019 9:32:54,Full-time,,"10,000-99,999",Germany (DE),,IT,Public,2-5,0-2,IT-Administrator,System Admin,,40+,40-49,Professional Certifications,37500,,,Yes,5,Yes,No,,Male,,No - never did one
9/11/2019 9:34:01,Contractor,,1-19,United Kingdom (GB),London,Software,Private,5-10,0-2,Senior Developer,Software Engineer (SWE),,20-39,20-39,Graduate Degree,55000,,,Yes,5,Yes,No,,Male,,No - never did one
9/11/2019 9:34:12,Full-time,Amdaris,100-999,"Moldova, Republic of (MD)",Chisinau,Software,Private,5-10,0-2,IT Manager,Management,,20-39,20-39,High School,16000,0,0,Yes,4,Yes,No,,Male,,No - never did one
9/11/2019 9:34:22,Full-time,,20-99,Netherlands (NL),Rotterdam,Software,Private,5-10,2-5,Senior Software Developer,Software Engineer (SWE),,40+,40-49,Graduate Degree,68500,0,0,No,5,It's Complicated,No,"Jobs are drying up, we are being squeezed",Male,Frontend work,No - never did one
9/11/2019 9:34:58,Full-time,Methodist Health System,"1,000-9,999",United States (US),"Dallas, TX",Healthcare,Non-profit,10-20,0-2,Senior Systems Administrator,System Admin,,40+,40-49,Graduate Degree,116200,0,0,Yes,3,Yes,No,,Male,"cloud, artificial intelligence, machine learning",No - never did one
9/11/2019 9:37:29,Full-time,,1-19,United Kingdom (GB),london,IT,Private,2-5,2-5,IT Manager,System Admin,,20-39,20-39,High School,46330,0,0,No,4,It's Complicated,Yes,,Male,,No - never did one
9/11/2019 9:37:34,Part-time,,100-999,Austria (AT),vienna,fitness industry,Private,2-5,0-2,sysadmin,System Admin,,20-39,20-39,Graduate Degree,46000,,,N/A,5,It's Complicated,Don't know,,Male,,No - never did one
9/11/2019 9:38:21,Full-time,Senacor,100-999,Germany (DE),München,Consulting,Private,0-2,0-2,Developer,Software Engineer (SWE),,40+,20-39,Graduate Degree,65000,0,0,N/A,6+,No,Yes,,Male,,No - never did one
9/11/2019 9:39:10,Full-time,,"10,000-99,999",Sweden (SE),Stockholm,Consulting,Public,0-2,0-2,Consultant,Dev-Ops,,40+,40-49,Trade School,44000,0,0,N/A,5,It's Complicated,Yes,,Male,,No - never did one
9/11/2019 9:39:46,Full-time,,1-19,United Kingdom (GB),,Internet Services,Private,5-10,2-5,Lead Software Developer,Software Engineer (SWE),,20-39,20-39,Professional Certifications,50000,,,N/A,5,Yes,Don't know,,Male,,No - never did one
9/11/2019 9:39:55,Full-time,,100-999,Austria (AT),,Public Sector,Private,10-20,10-20,it-service / sysadmin,Technical Support Engineer,,40+,40-49,High School,31000,,,Yes,5,Yes,No,,Male,,No - never did one
9/11/2019 9:40:30,Full-time,Mazars,"10,000-99,999",United Kingdom (GB),,Finance,Private,2-5,2-5,Indirect tax manager,Management,,20-39,40-49,Undergraduate Degree,60000,0,0,N/A,5,It's Complicated,No,Too stresful,Female,,No - never did one
9/11/2019 9:40:32,Full-time,,"1,000-9,999",United States (US),San Francisco,Software,Public,5-10,2-5,Staff Software Engineer,Software Engineer (SWE),4 (IV),40+,20-39,Graduate Degree,148000,20000,12000,Yes,2,Yes,Don't know,,Male,"Resourceful, forward-looking",No - never did one
9/11/2019 9:40:44,Full-time,,20-99,United Kingdom (GB),Leeds,Law,Private,10-20,10-20,Head of IT,System Admin,,20-39,20-39,High School,80000,7000,,N/A,5,Yes,No,,Male,,No - never did one
